customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Total,Segment,Churn_Risk,Action_Recommended
CUST0279,115,2,654.81,4,1,2,7,At Risk,High,Win-back Campaign
CUST0280,39,3,893.56,5,2,2,9,At Risk,High,Win-back Campaign
CUST0281,418,1,245.17,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0282,157,8,5366.0,3,3,4,10,At Risk,High,Win-back Campaign
CUST0283,190,10,3855.53,3,4,3,10,At Risk,High,Win-back Campaign
CUST0284,38,42,104963.95,5,5,5,15,Champions,Low,Reward & Retain
CUST0285,282,4,1102.39,2,3,3,8,At Risk,High,Win-back Campaign
CUST0286,63,34,73402.71,4,5,5,14,Champions,Low,Reward & Retain
CUST0287,444,3,552.86,1,2,1,4,Hibernating,Very High,Re-engagement / Suppress
CUST0288,428,2,316.01,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0289,57,21,11673.66,4,5,4,13,Loyal Customers,Low,Upsell
CUST0290,656,1,106.48,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0291,43,41,69075.98,5,5,5,15,Champions,Low,Reward & Retain
CUST0292,37,21,26109.8,5,5,5,15,Loyal Customers,Low,Upsell
CUST0293,257,1,154.85,2,1,1,4,At Risk,High,Win-back Campaign
CUST0294,240,13,7523.22,3,4,4,11,At Risk,High,Win-back Campaign
CUST0295,19,14,14537.69,5,4,5,14,Loyal Customers,Low,Upsell
CUST0296,589,1,338.16,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0297,680,1,234.54,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0298,54,11,6361.38,5,4,4,13,Loyal Customers,Low,Upsell
CUST0299,654,1,187.41,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0300,22,26,69177.04,5,5,5,15,Champions,Low,Reward & Retain
CUST0301,31,21,27738.72,5,5,5,15,Loyal Customers,Low,Upsell
CUST0302,363,3,372.69,2,2,1,5,Hibernating,Very High,Re-engagement / Suppress
CUST0303,326,1,244.97,2,1,1,4,Hibernating,Very High,Re-engagement / Suppress
CUST0304,329,3,1350.92,2,2,3,7,Hibernating,Very High,Re-engagement / Suppress
CUST0305,358,3,994.02,2,2,2,6,Hibernating,Very High,Re-engagement / Suppress
CUST0306,412,2,787.75,1,1,2,4,Hibernating,Very High,Re-engagement / Suppress
CUST0307,500,1,234.13,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0308,157,13,3891.37,3,4,3,10,At Risk,High,Win-back Campaign
CUST0309,701,1,163.99,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0310,115,11,12664.31,4,4,4,12,Loyal Customers,Low,Upsell
CUST0311,142,14,5748.44,3,4,4,11,Loyal Customers,Low,Upsell
CUST0312,87,21,40721.76,4,5,5,14,Loyal Customers,Low,Upsell
CUST0313,61,21,55497.42,4,5,5,14,Champions,Low,Reward & Retain
CUST0314,79,2,1117.03,4,1,3,8,At Risk,High,Win-back Campaign
CUST0315,138,2,824.76,3,1,2,6,At Risk,High,Win-back Campaign
CUST0316,561,2,333.76,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0317,150,7,3426.08,3,3,3,9,At Risk,High,Win-back Campaign
CUST0318,121,11,8358.85,4,4,4,12,At Risk,High,Win-back Campaign
CUST0319,53,11,8500.14,5,4,4,13,Loyal Customers,Low,Upsell
CUST0320,115,13,10790.15,4,4,4,12,Loyal Customers,Low,Upsell
CUST0321,401,1,147.2,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0322,616,2,370.08,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0323,334,3,907.22,2,2,2,6,Hibernating,Very High,Re-engagement / Suppress
CUST0324,65,14,9987.41,4,4,4,12,Loyal Customers,Low,Upsell
CUST0325,463,2,448.25,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0326,205,1,447.73,3,1,1,5,At Risk,High,Win-back Campaign
CUST0327,345,4,1405.19,2,3,3,8,Hibernating,Very High,Re-engagement / Suppress
CUST0328,271,4,804.59,2,3,2,7,At Risk,High,Win-back Campaign
CUST0329,215,11,6246.47,3,4,4,11,At Risk,High,Win-back Campaign
CUST0330,64,21,16300.52,4,5,5,14,Loyal Customers,Low,Upsell
CUST0331,154,10,5051.44,3,4,4,11,At Risk,High,Win-back Campaign
CUST0332,254,2,1454.1,2,1,3,6,At Risk,High,Win-back Campaign
CUST0333,7,24,35836.4,5,5,5,15,Loyal Customers,Low,Upsell
CUST0334,41,17,13580.46,5,4,5,14,Loyal Customers,Low,Upsell
CUST0335,38,40,58617.61,5,5,5,15,Champions,Low,Reward & Retain
CUST0336,26,40,60201.67,5,5,5,15,Champions,Low,Reward & Retain
CUST0337,171,3,1605.52,3,2,3,8,At Risk,High,Win-back Campaign
CUST0338,352,1,814.2,2,1,2,5,Hibernating,Very High,Re-engagement / Suppress
CUST0339,450,2,198.14,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0340,58,33,84197.54,4,5,5,14,Champions,Low,Reward & Retain
CUST0341,555,1,65.44,1,1,1,3,Hibernating,Very High,Re-engagement / Suppress
CUST0342,226,5,1473.24,3,3,3,9,At Risk,High,Win-back Campaign
CUST0343,32,17,11346.6,5,4,4,13,Loyal Customers,Low,Upsell
