order_id,customer_id,amount,product_category,city,payment_method,Segment,Churn_Risk,R_score,F_score,M_score,year,month,month_name,quarter,week,date_str
ORD008465,CUST0875,2161.5,Beauty,Delhi,UPI,Champions,Low,5,5,5,2022,5,May,Q2,19,2022-05-12
ORD001659,CUST0155,394.75,Home & Kitchen,Surat,Credit Card,At Risk,High,2,1,1,2023,4,April,Q2,14,2023-04-05
ORD001122,CUST0103,372.56,Electronics,Ahmedabad,UPI,At Risk,High,3,4,3,2022,5,May,Q2,19,2022-05-10
ORD007771,CUST0800,125.84,Books,Kolkata,Credit Card,At Risk,High,3,2,1,2023,6,June,Q2,22,2023-06-01
ORD004439,CUST0450,3028.38,Electronics,Delhi,NetBanking,Champions,Low,5,5,5,2022,11,November,Q4,45,2022-11-11
ORD004820,CUST0487,1844.76,Clothing,Kolkata,Debit Card,Champions,Low,5,5,5,2022,7,July,Q3,29,2022-07-20
ORD004760,CUST0477,1257.3,Home & Kitchen,Delhi,COD,Loyal Customers,Low,4,5,5,2023,5,May,Q2,21,2023-05-26
ORD004510,CUST0457,1370.69,Clothing,Jaipur,Debit Card,Champions,Low,5,5,5,2022,1,January,Q1,3,2022-01-19
ORD008098,CUST0841,2966.63,Electronics,Ahmedabad,UPI,Champions,Low,5,5,5,2023,7,July,Q3,30,2023-07-27
ORD002148,CUST0207,746.61,Clothing,Jaipur,Credit Card,Loyal Customers,Low,4,5,5,2022,8,August,Q3,33,2022-08-19
ORD002250,CUST0216,818.24,Clothing,Delhi,Credit Card,Loyal Customers,Low,4,4,4,2023,5,May,Q2,21,2023-05-25
ORD009496,CUST0956,921.03,Electronics,Hyderabad,UPI,At Risk,High,4,3,3,2022,5,May,Q2,22,2022-05-31
ORD000583,CUST0050,1362.55,Home & Kitchen,Chennai,Credit Card,Loyal Customers,Low,5,5,5,2023,5,May,Q2,21,2023-05-22
ORD002406,CUST0237,924.72,Clothing,Chennai,UPI,Loyal Customers,Low,5,5,5,2022,8,August,Q3,31,2022-08-01
ORD008720,CUST0889,1156.72,Electronics,Kolkata,UPI,Champions,Low,5,5,5,2023,10,October,Q4,42,2023-10-17
ORD007646,CUST0783,1221.35,Books,Bangalore,COD,Loyal Customers,Low,5,5,5,2023,11,November,Q4,45,2023-11-07
ORD005236,CUST0534,297.52,Electronics,Hyderabad,UPI,At Risk,High,2,3,3,2022,2,February,Q1,5,2022-02-01
ORD009808,CUST0983,473.17,Clothing,Ahmedabad,UPI,Loyal Customers,Low,5,5,4,2023,7,July,Q3,27,2023-07-06
ORD000260,CUST0022,631.26,Clothing,Chennai,Debit Card,Loyal Customers,Low,5,4,5,2023,2,February,Q1,7,2023-02-17
ORD006744,CUST0682,466.5,Home & Kitchen,Surat,COD,Loyal Customers,Low,4,4,4,2023,9,September,Q3,35,2023-09-02
ORD001863,CUST0174,1005.48,Electronics,Jaipur,Debit Card,At Risk,High,3,4,4,2022,11,November,Q4,47,2022-11-23
ORD007659,CUST0785,419.29,Clothing,Hyderabad,UPI,Loyal Customers,Low,4,5,4,2023,10,October,Q4,43,2023-10-23
ORD008346,CUST0861,729.66,Electronics,Pune,UPI,At Risk,High,5,3,3,2022,4,April,Q2,16,2022-04-18
ORD009980,CUST1000,1191.82,Electronics,Bangalore,Credit Card,Loyal Customers,Low,3,4,4,2023,1,January,Q1,4,2023-01-29
ORD002803,CUST0286,948.61,Clothing,Jaipur,Debit Card,Champions,Low,4,5,5,2022,11,November,Q4,47,2022-11-24
ORD006876,CUST0697,1434.47,Electronics,Delhi,UPI,Loyal Customers,Low,4,5,5,2023,2,February,Q1,5,2023-02-03
ORD001057,CUST0099,1142.16,Sports,Chennai,Debit Card,Champions,Low,5,5,5,2023,7,July,Q3,29,2023-07-20
ORD004505,CUST0457,2005.2,Electronics,Chennai,NetBanking,Champions,Low,5,5,5,2023,1,January,Q1,3,2023-01-18
ORD004618,CUST0464,215.89,Home & Kitchen,Delhi,UPI,At Risk,High,3,3,3,2022,12,December,Q4,49,2022-12-05
ORD003246,CUST0334,547.39,Clothing,Chennai,UPI,Loyal Customers,Low,5,4,5,2023,9,September,Q3,36,2023-09-04
ORD004743,CUST0477,729.17,Clothing,Pune,COD,Loyal Customers,Low,4,5,5,2022,9,September,Q3,35,2022-09-04
ORD004367,CUST0441,647.1,Books,Pune,Debit Card,Champions,Low,5,5,5,2023,8,August,Q3,34,2023-08-22
ORD009571,CUST0961,2826.76,Home & Kitchen,Ahmedabad,Debit Card,Champions,Low,4,5,5,2022,1,January,Q1,1,2022-01-03
ORD001374,CUST0129,2912.84,Home & Kitchen,Surat,UPI,Champions,Low,5,5,5,2023,7,July,Q3,27,2023-07-08
ORD009538,CUST0959,560.03,Clothing,Bangalore,UPI,Loyal Customers,Low,4,5,5,2022,2,February,Q1,5,2022-02-03
ORD001684,CUST0159,794.13,Electronics,Chennai,Credit Card,Loyal Customers,Low,4,5,5,2022,2,February,Q1,6,2022-02-08
ORD006248,CUST0635,1079.4,Clothing,Hyderabad,NetBanking,Loyal Customers,Low,4,4,4,2022,1,January,Q1,3,2022-01-17
ORD004030,CUST0416,207.56,Sports,Kolkata,Debit Card,At Risk,High,2,4,4,2022,12,December,Q4,51,2022-12-25
ORD006395,CUST0645,507.92,Home & Kitchen,Ahmedabad,Credit Card,Loyal Customers,Low,4,5,4,2022,10,October,Q4,42,2022-10-22
ORD006019,CUST0614,1384.45,Home & Kitchen,Jaipur,UPI,Champions,Low,5,5,5,2022,11,November,Q4,47,2022-11-27
ORD009628,CUST0965,609.99,Electronics,Chennai,UPI,Loyal Customers,Low,5,5,5,2023,11,November,Q4,45,2023-11-06
ORD002908,CUST0294,505.6,Home & Kitchen,Hyderabad,UPI,At Risk,High,3,4,4,2023,2,February,Q1,8,2023-02-20
ORD009807,CUST0983,369.26,Sports,Hyderabad,Credit Card,Loyal Customers,Low,5,5,4,2022,3,March,Q1,12,2022-03-21
ORD003549,CUST0357,3019.59,Clothing,Pune,Credit Card,Champions,Low,5,5,5,2022,9,September,Q3,35,2022-09-03
ORD002336,CUST0226,1003.68,Home & Kitchen,Jaipur,Credit Card,Loyal Customers,Low,5,5,5,2023,1,January,Q1,2,2023-01-13
ORD008255,CUST0855,247.88,Beauty,Kolkata,UPI,Loyal Customers,Low,5,4,4,2022,5,May,Q2,18,2022-05-07
ORD003112,CUST0319,901.81,Clothing,Pune,Credit Card,Loyal Customers,Low,5,4,4,2022,5,May,Q2,21,2022-05-23
ORD009229,CUST0931,284.02,Sports,Kolkata,Credit Card,Loyal Customers,Low,4,4,3,2022,10,October,Q4,39,2022-10-02
ORD005717,CUST0590,735.26,Beauty,Hyderabad,UPI,Loyal Customers,Low,5,4,4,2023,1,January,Q1,3,2023-01-17
ORD007663,CUST0785,401.62,Electronics,Kolkata,Credit Card,Loyal Customers,Low,4,5,4,2023,3,March,Q1,12,2023-03-22
ORD005398,CUST0558,3041.68,Sports,Kolkata,UPI,Champions,Low,5,5,5,2023,1,January,Q1,4,2023-01-23
ORD001384,CUST0129,3876.0,Home & Kitchen,Bangalore,UPI,Champions,Low,5,5,5,2023,8,August,Q3,34,2023-08-26
ORD007353,CUST0747,222.26,Electronics,Mumbai,Credit Card,At Risk,High,3,4,3,2022,7,July,Q3,27,2022-07-04
ORD000097,CUST0007,979.14,Clothing,Mumbai,Credit Card,Champions,Low,5,5,5,2022,8,August,Q3,34,2022-08-23
ORD004249,CUST0435,2740.84,Clothing,Mumbai,UPI,Champions,Low,5,5,5,2023,5,May,Q2,18,2023-05-02
ORD001703,CUST0161,599.36,Electronics,Kolkata,Credit Card,At Risk,High,3,3,3,2023,5,May,Q2,18,2023-05-03
ORD009759,CUST0978,2800.57,Beauty,Ahmedabad,Debit Card,Champions,Low,5,5,5,2023,7,July,Q3,26,2023-07-01
ORD000120,CUST0011,2511.59,Clothing,Delhi,UPI,Champions,Low,5,5,5,2023,3,March,Q1,11,2023-03-15
ORD000252,CUST0022,1166.33,Home & Kitchen,Hyderabad,NetBanking,Loyal Customers,Low,5,4,5,2023,2,February,Q1,8,2023-02-25
ORD001887,CUST0177,162.85,Electronics,Jaipur,COD,Hibernating,Very High,1,1,1,2022,9,September,Q3,39,2022-09-28
ORD000034,CUST0005,575.45,Books,Kolkata,UPI,Loyal Customers,Low,5,5,5,2022,8,August,Q3,32,2022-08-09
ORD003299,CUST0336,2410.46,Electronics,Mumbai,Credit Card,Champions,Low,5,5,5,2022,5,May,Q2,20,2022-05-20
ORD001079,CUST0100,933.83,Home & Kitchen,Surat,Debit Card,Loyal Customers,Low,4,5,5,2023,9,September,Q3,36,2023-09-06
ORD007956,CUST0822,3931.21,Home & Kitchen,Mumbai,UPI,Champions,Low,5,5,5,2022,6,June,Q2,24,2022-06-15
ORD007300,CUST0739,321.48,Books,Hyderabad,Debit Card,At Risk,High,2,3,3,2023,1,January,Q1,4,2023-01-28
ORD005304,CUST0543,555.63,Beauty,Ahmedabad,Credit Card,Loyal Customers,Low,4,5,4,2022,6,June,Q2,26,2022-06-28
ORD009442,CUST0947,663.61,Clothing,Hyderabad,NetBanking,Loyal Customers,Low,4,4,5,2022,6,June,Q2,24,2022-06-13
ORD001748,CUST0165,1274.09,Clothing,Bangalore,UPI,Champions,Low,5,5,5,2023,8,August,Q3,33,2023-08-20
ORD004504,CUST0457,2013.8,Electronics,Surat,NetBanking,Champions,Low,5,5,5,2022,7,July,Q3,29,2022-07-24
ORD009704,CUST0975,3287.93,Home & Kitchen,Surat,UPI,Champions,Low,5,5,5,2023,5,May,Q2,19,2023-05-11
ORD007824,CUST0810,728.55,Sports,Kolkata,Debit Card,Loyal Customers,Low,4,4,5,2022,12,December,Q4,49,2022-12-10
ORD004329,CUST0440,1366.0,Electronics,Kolkata,Debit Card,Champions,Low,5,5,5,2023,8,August,Q3,32,2023-08-09
ORD005382,CUST0557,543.21,Clothing,Bangalore,Debit Card,At Risk,High,4,4,4,2023,9,September,Q3,36,2023-09-08
ORD001563,CUST0148,628.73,Books,Pune,UPI,Hibernating,Very High,1,1,2,2022,6,June,Q2,23,2022-06-07
ORD000032,CUST0005,881.45,Electronics,Bangalore,NetBanking,Loyal Customers,Low,5,5,5,2022,10,October,Q4,41,2022-10-12
ORD008547,CUST0879,1606.39,Home & Kitchen,Mumbai,UPI,Champions,Low,5,5,5,2022,4,April,Q2,14,2022-04-08
ORD009305,CUST0937,576.56,Books,Pune,COD,Champions,Low,5,5,5,2022,2,February,Q1,7,2022-02-17
ORD000030,CUST0005,1396.73,Electronics,Pune,UPI,Loyal Customers,Low,5,5,5,2023,3,March,Q1,10,2023-03-09
ORD007270,CUST0731,1116.26,Beauty,Jaipur,UPI,Loyal Customers,Low,5,4,4,2022,3,March,Q1,11,2022-03-20
ORD008402,CUST0868,930.51,Home & Kitchen,Ahmedabad,UPI,Loyal Customers,Low,5,4,4,2022,11,November,Q4,45,2022-11-07
ORD007221,CUST0729,845.87,Sports,Bangalore,Debit Card,Loyal Customers,Low,5,5,5,2022,4,April,Q2,13,2022-04-01
ORD006435,CUST0651,2491.87,Beauty,Kolkata,UPI,Champions,Low,5,5,5,2022,1,January,Q1,1,2022-01-09
ORD000107,CUST0011,2070.65,Electronics,Delhi,Credit Card,Champions,Low,5,5,5,2023,11,November,Q4,44,2023-11-03
ORD000762,CUST0067,1196.63,Electronics,Kolkata,COD,Loyal Customers,Low,5,5,5,2023,6,June,Q2,26,2023-06-30
ORD009264,CUST0936,501.04,Home & Kitchen,Hyderabad,COD,Loyal Customers,Low,4,5,5,2023,9,September,Q3,39,2023-09-29
ORD006583,CUST0667,465.44,Home & Kitchen,Chennai,Credit Card,Loyal Customers,Low,5,5,5,2022,7,July,Q3,30,2022-07-27
ORD001473,CUST0139,693.3,Electronics,Ahmedabad,Debit Card,At Risk,High,2,4,4,2023,3,March,Q1,10,2023-03-10
ORD008562,CUST0879,1473.38,Electronics,Bangalore,Credit Card,Champions,Low,5,5,5,2022,11,November,Q4,44,2022-11-04
ORD000519,CUST0043,1376.21,Home & Kitchen,Jaipur,UPI,Champions,Low,5,5,5,2023,10,October,Q4,39,2023-10-01
ORD005358,CUST0555,336.63,Home & Kitchen,Bangalore,UPI,Hibernating,Very High,1,2,3,2022,2,February,Q1,7,2022-02-14
ORD002856,CUST0291,1214.66,Electronics,Hyderabad,UPI,Champions,Low,5,5,5,2022,6,June,Q2,22,2022-06-04
ORD008226,CUST0853,609.42,Clothing,Pune,COD,Loyal Customers,Low,3,5,4,2022,8,August,Q3,33,2022-08-21
ORD005077,CUST0516,994.42,Electronics,Chennai,UPI,Champions,Low,5,5,5,2022,7,July,Q3,30,2022-07-30
ORD005266,CUST0539,139.3,Home & Kitchen,Chennai,UPI,Hibernating,Very High,1,2,2,2022,3,March,Q1,10,2022-03-13
ORD003127,CUST0320,980.24,Sports,Surat,Credit Card,Loyal Customers,Low,4,4,4,2023,7,July,Q3,26,2023-07-02
ORD007223,CUST0729,1388.09,Home & Kitchen,Ahmedabad,UPI,Loyal Customers,Low,5,5,5,2023,4,April,Q2,17,2023-04-29
ORD001356,CUST0129,1842.38,Sports,Mumbai,Credit Card,Champions,Low,5,5,5,2022,12,December,Q4,49,2022-12-08
ORD002418,CUST0237,1079.62,Sports,Ahmedabad,UPI,Loyal Customers,Low,5,5,5,2023,1,January,Q1,4,2023-01-24
ORD006475,CUST0656,636.29,Clothing,Ahmedabad,NetBanking,Loyal Customers,Low,5,4,5,2022,12,December,Q4,52,2022-12-30
ORD009525,CUST0958,3685.2,Sports,Delhi,COD,Champions,Low,5,5,5,2022,6,June,Q2,24,2022-06-16
ORD009736,CUST0977,212.67,Clothing,Surat,NetBanking,Hibernating,Very High,1,3,2,2022,1,January,Q1,3,2022-01-22
ORD002698,CUST0275,394.3,Electronics,Pune,UPI,At Risk,High,2,3,3,2022,1,January,Q1,4,2022-01-29
ORD001091,CUST0101,1337.96,Clothing,Ahmedabad,UPI,Loyal Customers,Low,5,5,5,2023,8,August,Q3,34,2023-08-25
ORD002875,CUST0291,2256.13,Clothing,Jaipur,Debit Card,Champions,Low,5,5,5,2022,1,January,Q1,2,2022-01-13
ORD004639,CUST0467,584.43,Electronics,Mumbai,UPI,Loyal Customers,Low,4,4,4,2022,4,April,Q2,15,2022-04-13
ORD001559,CUST0147,186.52,Home & Kitchen,Ahmedabad,Debit Card,Hibernating,Very High,2,3,2,2022,10,October,Q4,44,2022-10-31
ORD001594,CUST0149,2156.57,Clothing,Pune,UPI,Champions,Low,5,5,5,2023,3,March,Q1,12,2023-03-23
ORD005290,CUST0543,627.13,Beauty,Bangalore,UPI,Loyal Customers,Low,4,5,4,2023,4,April,Q2,17,2023-04-26
ORD001077,CUST0100,650.61,Sports,Surat,UPI,Loyal Customers,Low,4,5,5,2023,1,January,Q1,4,2023-01-28
ORD005154,CUST0526,114.43,Home & Kitchen,Delhi,UPI,Hibernating,Very High,2,3,1,2023,1,January,Q1,2,2023-01-15
ORD004713,CUST0473,2909.97,Beauty,Pune,Credit Card,Champions,Low,5,5,5,2023,6,June,Q2,25,2023-06-20
ORD008236,CUST0853,378.07,Home & Kitchen,Pune,Debit Card,Loyal Customers,Low,3,5,4,2023,5,May,Q2,19,2023-05-11
ORD008077,CUST0836,696.54,Electronics,Surat,Credit Card,At Risk,High,3,4,4,2023,2,February,Q1,8,2023-02-24
ORD004103,CUST0425,78.5,Electronics,Jaipur,COD,Champions,Low,5,5,5,2023,3,March,Q1,11,2023-03-14
ORD004421,CUST0446,563.66,Sports,Chennai,UPI,Hibernating,Very High,1,2,2,2022,6,June,Q2,25,2022-06-24
ORD002725,CUST0283,460.16,Books,Bangalore,Debit Card,At Risk,High,3,4,3,2023,6,June,Q2,25,2023-06-22
ORD007509,CUST0767,233.25,Clothing,Jaipur,Credit Card,At Risk,High,4,2,2,2022,3,March,Q1,9,2022-03-06
ORD000322,CUST0030,1853.22,Home & Kitchen,Delhi,Credit Card,Champions,Low,5,5,5,2022,3,March,Q1,12,2022-03-24
ORD000851,CUST0073,1769.51,Books,Jaipur,NetBanking,Champions,Low,5,5,5,2022,11,November,Q4,45,2022-11-10
ORD001319,CUST0125,1563.47,Clothing,Hyderabad,Credit Card,Loyal Customers,Low,4,5,5,2023,4,April,Q2,15,2023-04-10
ORD007703,CUST0790,182.63,Electronics,Kolkata,NetBanking,At Risk,High,2,3,2,2023,3,March,Q1,12,2023-03-23
ORD008510,CUST0876,1150.8,Clothing,Mumbai,COD,Loyal Customers,Low,4,4,5,2023,1,January,Q1,3,2023-01-22
ORD008234,CUST0853,451.84,Electronics,Delhi,UPI,Loyal Customers,Low,3,5,4,2022,3,March,Q1,12,2022-03-21
ORD005136,CUST0522,204.12,Electronics,Jaipur,Credit Card,At Risk,High,3,4,3,2022,11,November,Q4,44,2022-11-02
ORD004708,CUST0471,2264.43,Electronics,Hyderabad,Credit Card,Champions,Low,5,5,5,2023,8,August,Q3,31,2023-08-02
ORD008509,CUST0876,393.58,Sports,Delhi,Debit Card,Loyal Customers,Low,4,4,5,2022,11,November,Q4,47,2022-11-21
ORD008020,CUST0831,895.11,Books,Delhi,UPI,Loyal Customers,Low,5,5,5,2022,8,August,Q3,33,2022-08-16
